accX[mg],accY[mg],accZ[mg],gyroX[mdps],gyroY[mdps],gyroZ[mdps]
1594.759815,-369.651447,1994.421033,-3833.087682,-286685.1648,-23537.10642
-371.058633,426.081645,1998.571212,7895.358484,-264597.6416,43871.37875
-373.00626,235.948383,1942.457121,28699.4562,26390.43627,10158.54179
-566.004879,28.908495,1942.151211,-32882.04814,84133.12335,14037.4661
-499.520439,0.428274,1998.571212,43871.37875,201532.1766,-12284.21523
530.325576,-113.217291,1998.571212,55227.40234,286685.1648,-7391.15562
1081.69776,-90.641133,-240.333093,30286.54931,286685.1648,1873.572006
1537.60563,-263.153979,-1649.905191,42593.68285,-27232.68423,1163.104334
1777.204539,-240.271911,-10.309167,-41516.52219,-286685.1648,38061.58665
137.730879,406.075131,1998.571212,-54935.19386,-286685.1648,-7780.766924
-852.336639,140.300523,1998.571212,9098.569864,-97763.78941,16363.67477
-337.204593,11.950884,1978.075242,-1340.721252,9264.727626,-1959.515676
-398.570139,319.329252,1998.571212,-12118.05747,262025.0611,-10622.63761
989.404713,-147.193695,1971.120888,40811.78409,286685.1648,2641.335458
1153.188927,-118.397367,-143.16588,49939.00185,286685.1648,-11017.97849
1140.799572,-257.045976,-1782.150084,41327.44611,18575.29188,-3535.149626
1356.924987,-246.379914,-483.297012,-8519.882486,-286685.1648,47326.31428
1402.913457,-3.538359,1997.408754,-82173.60768,-286685.1648,-3798.710214
-559.295253,99.492129,1998.571212,77595.67485,-233073.5035,5792.603358
-446.516433,83.809143,1787.758434,6623.392168,59026.11256,9597.04315
-719.785836,-26.777322,1998.571212,20420.21599,101001.001,-3151.2679
0.428274,123.954732,1998.571212,12347.24059,286685.1648,-18644.04681
1214.615655,-115.164918,1015.080759,-18025.25239,286685.1648,-8760.524762
1190.09187,-158.899851,-1424.877795,50179.64412,196610.4691,13447.31957
1193.752593,-230.023926,-1055.409894,-27490.51524,-225367.2211,7058.840096
1669.789341,-160.429401,705.336687,-44914.16194,-286685.1648,20546.26671
-72.470079,156.646314,1998.571212,-36417.19777,-286685.1648,11906.06308
-616.949091,253.935891,1998.571212,-27353.00537,-58493.2618,17016.84666
-137.006892,-48.74166,1279.21365,15481.31976,14919.82111,8032.868356
-758.279511,604.437372,1998.571212,-103.132404,173566.1064,-24677.29245
919.504278,15.305697,1998.571212,464.095818,286685.1648,-25112.74037
1183.749336,-217.583586,13.296888,-2692.90166,286685.1648,-1827.735382
1119.946707,-101.623302,-1986.68151,-1042.783196,65116.65397,15315.16199
1382.723397,-99.675675,-449.932428,-40313.31081,-286685.1648,-14822.41829
960.730749,-81.127332,1998.571212,36944.31894,-286685.1648,-37946.99509
-803.176902,156.034494,1998.571212,1243.318426,-184074.1524,9425.15581
-203.797242,-100.583208,1333.380114,22775.07255,-19268.57081,-19898.82439
-542.643552,48.619296,1998.571212,3603.904562,172477.4865,-22104.71192
963.422757,-105.773481,1998.571212,6737.983728,286685.1648,13212.40687
1231.022628,-159.939945,228.382209,-21806.77387,286685.1648,32354.92697
959.94558,24.462603,-1998.20412,49979.10889,69299.24591,24866.36852
1329.352299,-29.214405,-483.664104,-26906.09829,-286685.1648,-24849.17979
1050.341985,-477.01566,1998.571212,-53393.93738,-286685.1648,-44748.00418
-768.466314,-371.915181,1998.571212,-32165.85089,-183506.9242,-32417.95232
-217.70595,88.938234,1653.198822,48947.78485,-4394.586326,7116.135876
-721.43775,-18.670707,1998.571212,-5443.0991,-14163.51682,6577.555544
154.9944,389.719143,1998.571212,-19789.96241,286685.1648,-15349.53946
1287.870903,-124.617537,1022.463387,-6405.668204,286685.1648,-3621.093296
1211.750298,-98.146125,-1394.256204,23204.7909,248096.457,5024.839906
1317.391218,-243.076086,-1224.25182,23720.45292,-234563.1937,30171.95775
1621.108863,-141.146874,923.583078,-147347.5574,-286685.1648,-19715.4779
478.840923,-38.493675,1998.571212,41533.71092,-286685.1648,-13458.77872
-343.975401,-212.515677,1998.571212,-41980.61801,-45034.48308,11172.6771
-420.891372,12.13443,1998.571212,30091.74366,57782.79413,4841.49341
202.328874,173.665107,1998.571212,-12055.03211,286685.1648,-18787.28626
1245.787884,-36.841761,1410.601995,22975.60778,286685.1648,-8680.31067
