accX[mg],accY[mg],accZ[mg],gyroX[mdps],gyroY[mdps],gyroZ[mdps]
-985.009806,-23.483691,260.217243,-4182.59194,-2188.698796,-979.757838
-1001.967417,-24.401421,260.890245,-4211.23983,1907.949474,733.385984
-920.167083,42.694839,155.60622,-6422.856938,-584.416956,62028.41143
-1096.758729,738.028269,424.796823,25565.37704,-34938.96664,248474.6091
-812.201247,1191.0096,575.834787,66755.31328,15664.66625,286685.1648
-181.537191,1037.962827,109.434204,52064.67529,-46094.45501,228558.596
-140.361705,389.056338,49.710375,41957.69969,-47899.27208,75601.78171
-5.669532,699.473412,-15.366879,1031.32404,-7414.073932,35322.84837
98.696763,778.897845,-46.110834,-5127.97231,24196.00789,-91358.12121
-1010.390139,-9.513801,219.174318,-11252.89119,-9763.200912,481.284552
-1019.965122,-41.420214,208.803969,-103.132404,-762.033874,-3088.242542
-984.397986,-26.960868,246.736809,-1988.163566,-2211.617108,-658.90147
-999.775062,-43.734933,239.547924,-3283.048194,-1713.143822,-3930.490508
-996.114339,-48.43575,236.550006,-4514.907464,-3546.608782,-4566.473666
-941.947875,-5.730714,230.268654,-4165.403206,-3357.532708,15802.17612
-1070.103771,274.921317,252.232992,-15441.21271,-16764.74523,138609.951
-937.736514,908.399745,416.863557,-16380.8635,-7797.955658,276091.1751
-429.681186,1135.068858,283.833495,83411.19652,-33689.91864,286685.1648
-15.795153,994.289076,237.528918,62927.95517,-90349.71548,266637.3714
-170.004384,572.235246,80.576694,10026.7615,-40851.89114,48535.25524
40.68603,733.205088,-37.759491,578.687378,-4979.003282,-3729.955278
-36.474669,688.613607,122.731092,-38972.58956,28710.91536,-93500.98338
-1011.603582,-15.366879,216.1764,-3815.898948,-1810.546648,17.188734
-1014.173226,-31.967595,249.795909,3386.180598,4251.346876,-5672.28222
-985.254534,-29.520315,258.269616,-2119.94386,183.346496,286.4789
-882.407592,156.952224,226.424385,2601.228412,-8279.24021,30326.65635
-1211.444388,366.296634,289.319481,29598.99995,6107.730148,142775.3542
-1052.901432,939.510792,506.230065,38640.27403,-11705.52785,286685.1648
-428.702274,1086.939018,404.178489,67351.18939,-25697.15733,283367.7391
-58.255461,603.580824,44.224389,34520.70745,-28877.07312,116820.3658
-42.154398,543.622464,2.069991,-9390.778342,-33128.42,85095.69246
100.9503,856.058544,-76.436712,-498.473286,-2853.329844,-19371.70322
55.26774,836.602668,38.677221,-11298.72782,28527.56886,-126955.9893
-979.034364,-31.111047,181.843101,5993.138588,-12685.28569,5695.200532
-986.66172,-22.565961,263.816784,3208.56368,-8330.806412,3317.425662
-983.062179,-46.539108,232.410024,-2194.428374,-3105.431276,-418.259194
-980.981991,22.871871,224.660304,796.411342,-6136.378038,15355.26904
-1005.444594,148.590684,172.747377,23852.23321,-9625.69104,14644.80137
-1105.364997,450.839961,340.804134,3655.470764,11768.55321,147238.6954
-1139.953221,1157.573637,668.056455,64102.51866,-5563.420238,286685.1648
-513.979785,995.686065,442.121526,67311.08234,-39276.25719,286685.1648
-91.987137,543.255372,-10.553895,26923.28702,-53199.13173,175496.9741
54.105282,619.753266,-40.502484,3603.904562,-34022.23416,49715.54831
121.813362,666.047646,-77.588973,3586.715828,18271.62424,-52729.30633
35.261226,682.148709,69.115266,-23502.72896,26785.77715,-121312.355
-997.337979,-47.334474,279.49977,6044.70479,1082.890242,68.754936
-990.383625,-32.813946,254.853621,-1014.135306,-561.498644,750.574718
-976.719645,-39.951846,266.019336,-492.743708,2274.642466,-1398.017032
-994.10553,-50.628105,255.404259,-1793.357914,-6228.051286,3684.118654
-922.430817,136.94571,179.824095,12278.48565,-12851.44345,63655.61158
