accX[mg],accY[mg],accZ[mg],gyroX[mdps],gyroY[mdps],gyroZ[mdps]
-1025.634654,-20.740698,22.627143,-131.780294,-229.18312,-1426.664922
-1025.145198,-19.517058,22.565961,-80.214092,-779.222608,-1478.231124
-1024.788303,-19.761786,21.4137,-85.94367,17.188734,-1392.287454
-1024.727121,-19.517058,26.226684,-120.321138,45.836624,-1409.476188
-1024.360029,-21.352518,26.899686,-166.157762,-148.969028,-1461.04239
-1025.940564,-21.046608,23.055417,-194.805652,85.94367,-1524.067748
-1025.8182,-20.924244,22.382415,-177.616918,183.346496,-1455.312812
-1025.8182,-21.780792,24.034329,-131.780294,-229.18312,-1461.04239
-1025.757018,-21.4137,21.658428,-120.321138,-114.59156,-1472.501546
-1025.145198,-21.71961,22.933053,-17.188734,183.346496,-1409.476188
-1023.319935,-22.382415,21.291336,-211.994386,280.749322,-1375.09872
-1024.298847,-21.903156,23.238963,-85.94367,-194.805652,-1472.501546
-1025.145198,-21.658428,21.230154,-85.94367,-200.53523,-1506.879014
-1024.604757,-21.597246,23.606055,-131.780294,137.509872,-1432.3945
-1025.389926,-19.822968,23.238963,-80.214092,-498.473286,-1472.501546
-1024.961652,-19.88415,24.217875,-120.321138,-229.18312,-1398.017032
-1025.267562,-20.618334,22.810689,-148.969028,34.377468,-1409.476188
-1023.136389,-20.067696,24.768513,-114.59156,45.836624,-1415.205766
-1024.360029,-20.251242,21.841974,-103.132404,-464.095818,-1472.501546
-1025.634654,-20.067696,21.4137,-85.94367,-297.938056,-1461.04239
-1024.788303,-20.80188,21.658428,-114.59156,-217.723964,-1478.231124
-1026.185292,-21.964338,22.137687,-114.59156,-148.969028,-1426.664922
-1024.910667,-21.964338,22.321233,-137.509872,-229.18312,-1455.312812
-1025.20638,-22.382415,22.443597,-194.805652,97.402826,-1443.853656
-1024.665939,-21.71961,20.618334,-183.346496,63.025358,-1398.017032
-1025.145198,-22.627143,20.618334,-148.969028,34.377468,-1443.853656
-1025.573472,-22.198869,20.434788,-137.509872,-45.836624,-1443.853656
-1025.20638,-21.964338,22.504779,-131.780294,315.12679,-1415.205766
-1025.084016,-21.71961,23.728419,-177.616918,-286.4789,-1512.608592
-1025.389926,-20.251242,22.504779,-131.780294,85.94367,-1340.721252
-1025.328744,-18.782874,21.4137,-148.969028,200.53523,-1409.476188
-1025.267562,-19.88415,24.095511,-177.616918,-28.64789,-1398.017032
-1025.145198,-19.088784,22.565961,-148.969028,-120.321138,-1432.3945
-1025.573472,-18.96642,19.517058,-103.132404,34.377468,-1409.476188
-1026.613566,-20.740698,22.565961,-154.698606,-63.025358,-1426.664922
-1024.788303,-21.536064,22.443597,-148.969028,-103.132404,-1432.3945
-1026.246474,-20.80188,19.88415,-154.698606,177.616918,-1346.45083
-1024.788303,-20.985426,20.557152,-154.698606,-137.509872,-1461.04239
-1025.695836,-21.10779,21.841974,-114.59156,-34.377468,-1392.287454
-1024.482393,-21.168972,22.086702,-166.157762,68.754936,-1409.476188
-1023.319935,-22.321233,23.361327,-194.805652,-234.912698,-1529.797326
-1025.451108,-21.903156,22.443597,-177.616918,177.616918,-1392.287454
-1023.992937,-21.658428,20.434788,-148.969028,137.509872,-1392.287454
-1024.543575,-20.618334,21.291336,-137.509872,28.64789,-1363.639564
-1025.695836,-19.945332,20.19006,-103.132404,-103.132404,-1380.828298
-1026.062928,-19.333512,19.700604,-120.321138,148.969028,-1363.639564
-1025.8182,-19.822968,20.067696,-131.780294,-11.459156,-1340.721252
-1025.145198,-20.251242,18.844056,-177.616918,584.416956,-1260.50716
-1024.961652,-21.780792,20.251242,-80.214092,-68.754936,-1461.04239
-1024.961652,-20.128878,19.517058,-103.132404,-51.566202,-1432.3945
-1024.849485,-19.88415,21.71961,-148.969028,-177.616918,-1524.067748
-1025.20638,-20.312424,21.903156,-217.723964,-97.402826,-1495.419858
-1025.145198,-21.474882,22.137687,-194.805652,-80.214092,-1415.205766
-1023.625845,-22.810689,22.02552,-103.132404,-343.77468,-1541.256482
-1024.604757,-22.198869,20.924244,-154.698606,-137.509872,-1432.3945
-1023.687027,-21.230154,21.291336,-114.59156,-349.504258,-1506.879014
-1025.267562,-21.352518,21.291336,-137.509872,-435.447928,-1489.69028
-1025.267562,-19.88415,20.80188,-177.616918,194.805652,-1398.017032
-1024.961652,-19.57824,20.618334,-148.969028,-148.969028,-1432.3945
-1025.328744,-18.548343,19.822968,-137.509872,0,-1443.853656
-1025.145198,-18.120069,20.740698,-97.402826,-80.214092,-1375.09872
-1027.04184,-20.557152,20.312424,-114.59156,-11.459156,-1426.664922
-1025.51229,-20.373606,19.211148,-80.214092,85.94367,-1409.476188
-1025.145198,-20.434788,20.434788,-103.132404,34.377468,-1443.853656
-1025.51229,-19.57824,19.88415,-51.566202,-154.698606,-1432.3945
-1025.573472,-21.230154,21.10779,45.836624,-509.932442,-1455.312812
-1025.267562,-20.924244,20.373606,-137.509872,217.723964,-1426.664922
-1024.604757,-21.4137,22.02552,-114.59156,-481.284552,-1546.98606
-1024.849485,-20.863062,20.618334,-68.754936,-395.340882,-1524.067748
-1024.482393,-20.924244,20.985426,-148.969028,-550.039488,-1524.067748
-1024.237665,-20.80188,21.474882,-114.59156,-45.836624,-1455.312812
-1024.176483,-19.333512,22.02552,-137.509872,120.321138,-1409.476188
-1024.482393,-18.058887,22.260051,-80.214092,-349.504258,-1432.3945
-1023.931755,-18.548343,21.10779,-103.132404,0,-1392.287454
-1024.421211,-20.251242,22.443597,-120.321138,-154.698606,-1415.205766
-1024.298847,-20.434788,20.740698,-80.214092,-532.850754,-1506.879014
-1023.870573,-21.230154,20.128878,-68.754936,-332.315524,-1478.231124
-1024.421211,-18.425979,21.168972,-166.157762,97.402826,-1432.3945
-1026.307656,-19.822968,20.49597,-120.321138,-114.59156,-1443.853656
-1024.482393,-21.046608,24.095511,-280.749322,-429.71835,-1512.608592
-1024.360029,-22.137687,23.728419,-211.994386,63.025358,-1478.231124
-1024.604757,-21.10779,22.086702,-194.805652,68.754936,-1432.3945
-1023.381117,-21.841974,23.483691,-194.805652,68.754936,-1489.69028
-1024.604757,-21.474882,21.352518,-177.616918,-200.53523,-1443.853656
-1023.992937,-19.517058,20.006514,-148.969028,68.754936,-1432.3945
-1023.992937,-20.067696,23.422509,-211.994386,137.509872,-1375.09872
-1022.952843,-19.761786,22.933053,-229.18312,28.64789,-1461.04239
-1023.870573,-19.88415,21.71961,-137.509872,154.698606,-1392.287454
-1024.604757,-19.57824,20.740698,-177.616918,103.132404,-1380.828298
-1025.8182,-20.312424,19.822968,-97.402826,114.59156,-1455.312812
-1025.084016,-20.618334,20.19006,-154.698606,229.18312,-1346.45083
-1024.482393,-19.57824,20.557152,-103.132404,-252.101432,-1415.205766
-1024.482393,-20.618334,22.994235,-114.59156,-97.402826,-1409.476188
-1024.054119,-19.57824,21.10779,-97.402826,-137.509872,-1478.231124
-1023.625845,-20.557152,19.945332,-97.402826,-85.94367,-1455.312812
-1023.319935,-21.291336,21.291336,-103.132404,-280.749322,-1489.69028
