accX[mg],accY[mg],accZ[mg],gyroX[mdps],gyroY[mdps],gyroZ[mdps]
-853.0375,1202.2652,768.7645,57750.0234,-147000.0625,286685.1250
-638.3909,596.1324,332.0316,-4375.0014,116243.7968,-285337.5937
-638.3909,596.1324,332.0316,-4375.0014,116243.7968,-285337.5937
-345.0202,-91.2858,-15.9156,97903.7890,89783.7890,-174921.3125
-85.3099,47.1369,-89.9443,-54923.7695,21210.0078,-11602.5048
-30.3676,-408.4385,-30.6725,-14673.7548,-61547.5273,132492.5468
-305.3227,109.6405,-3.1709,18917.5058,-131355.0468,203183.8125
-866.0262,893.2838,166.5951,-1697.5006,-201127.5781,286685.1250
-1182.2641,1340.1392,718.7615,-3981.2517,-194241.3281,286685.1250
-992.6189,1224.9495,838.2197,54005.0195,-175673.7968,286685.1250
-757.9101,927.8591,444.0504,13457.5058,-118571.2968,250092.5781
-715.7735,1070.7943,595.8884,17272.5058,-1102.5003,-15128.7568
-605.0354,638.2689,278.3089,-14848.7548,121957.5390,-217175.0781
-541.9829,662.7216,296.8466,-45771.2656,112813.7890,-192447.5781
-14.6960,-2.4392,-24.2697,6658.7519,26390.0097,-6265.0024
-113.2993,-603.5109,-325.2629,15172.5058,-6431.2519,23231.2578
-216.3541,170.7417,-39.0876,6090.0019,-13387.5048,13930.0048
-778.1552,887.3080,414.4145,52727.5195,-123908.8046,251641.3437
-1273.4279,957.7999,463.3807,-446.2502,-206088.8281,286685.1250
-1187.8133,1307.3325,707.4804,726.2503,-203288.8281,286685.1250
-736.9332,1019.3278,412.6461,90755.0312,-164535.0625,286685.1250
-387.8275,50.6127,-94.4567,218.7501,64128.7734,-87692.5312
-372.1559,6.9516,-130.3735,25838.7578,59998.7734,-79038.7812
-396.6695,-649.0014,-347.3983,23257.5078,54678.7734,-73736.2734
-361.0577,210.2562,-15.2448,23327.5097,31482.5117,-55273.7695
-498.0779,321.2383,190.4989,5985.0019,-100283.7812,202492.5781
-810.5961,301.0542,72.3213,-24158.7578,-162496.2968,272562.5937
-1074.6968,1169.5804,551.8615,16073.7568,-162785.0625,286685.1250
-864.6845,1148.6646,812.6084,10797.5039,-158900.0468,286685.1250
-683.8204,1028.3526,571.9846,27685.0097,-171963.8125,286685.1250
-409.7191,304.1032,167.9976,-48886.2656,71715.0234,-149476.3125
-381.0588,269.6499,48.6614,-54451.2695,62370.0234,-128520.0390
-85.5538,-64.1501,79.0290,-12215.0048,5923.7519,332.5001
39.0267,-126.9586,-14.0862,26241.2597,-74147.5312,105052.5390
-250.3195,478.5035,207.6950,-29951.2617,-173600.0625,227640.0781
-1066.6477,1496.0628,634.7322,-42122.5156,-255613.8593,286685.1250
-1449.8408,1464.9636,766.9960,129491.2968,-261721.3281,286685.1250
-377.5220,243.7337,61.6499,28087.5097,38430.0156,-73972.5234
-379.5344,243.7337,61.6499,27623.7617,32637.5117,-56665.0195
-320.5675,-10.0006,-33.9654,-33923.7617,2222.5007,30738.7578
-247.9413,321.8481,413.3778,-32830.0078,-72362.5312,156922.5468
-605.4013,390.8765,170.4368,23257.5078,-205126.3281,286685.1250
-918.1025,1438.6206,775.8380,-15916.2558,-283290.0937,286685.1250
-1192.5695,1322.3942,1202.3872,16782.5058,-286685.1250,286685.1250
-365.0823,58.0522,25.5503,-24298.7578,28210.0117,-6886.2524
-332.3365,52.6860,-11.4031,-21157.5078,19468.7578,7752.5034
-212.8173,17.8669,83.6634,-13256.2548,-31937.5117,83518.7812
-400.8161,268.5523,206.8413,-63385.0273,-125545.0468,193392.5781
-813.4621,853.9523,436.7328,24578.7597,-241456.3437,286685.1250
-1125.6755,1147.9937,376.2415,71216.2734,-286055.0937,286685.1250
-519.6035,1014.8153,812.7304,2301.2507,-168568.7968,286685.1250
-177.3274,211.2318,45.3685,-2563.7509,39033.7617,-61722.5234
-149.7648,119.5192,46.6491,-3430.0012,30336.2617,-40932.5117
-142.2644,-115.0067,-78.2363,-24045.0097,-21218.7578,60313.7695
-366.9726,228.1231,173.3028,-25278.7597,-98700.0390,177091.3281
-874.1975,822.9749,304.1641,9047.5029,-192710.0781,286685.1250
-1276.9036,1529.1746,606.1330,-58852.5234,-255185.0937,286685.1250
-867.4898,1017.4375,616.9263,55335.0195,-201355.0625,286685.1250
-167.7537,798.4613,278.8578,-2800.0009,-121423.7890,285145.1250
-195.6822,1182.6301,571.2529,52307.5195,-7612.5029,65948.7734
-417.5244,188.6696,78.9680,12153.7548,55623.7695,-83650.0234
-417.5244,188.6696,78.9680,12153.7548,55623.7695,-83650.0234
-224.3423,79.4559,90.9199,-42988.7656,-2012.5008,54285.0195
-254.9539,-205.0120,-149.2770,-13658.7548,-59333.7734,151410.0468
-315.8111,430.9398,109.7015,-42700.0156,-86966.2812,164893.8125
-1005.9124,1543.5046,634.6712,-9450.0029,-166145.0625,286685.1250
-1167.2631,1567.8964,686.1986,68906.2734,-178228.8125,286685.1250
-841.5736,1310.0153,504.5416,71898.7734,-153868.8125,286685.1250
-209.5244,759.7395,244.4655,-1986.2507,-71277.5312,228182.5781
-193.7918,879.3197,300.1395,43102.5156,17920.0078,-53130.0195
-282.5775,1298.8563,612.2919,-58345.0195,44878.7656,-225303.8281
-211.0489,-194.9504,-196.7188,-31928.7597,-26871.2597,51301.2695
-188.7305,-226.1108,-181.4130,-31928.7597,-30616.2617,59535.0234
-308.3107,204.1583,-171.4734,-18698.7558,-49743.7656,105857.5312
-907.0042,647.5988,374.4731,16222.5058,-121406.2890,257188.8437
-1368.3116,1064.9401,747.4218,26057.5097,-172970.0625,286685.1250
-1130.9196,1016.8277,563.2036,76265.0234,-195938.8281,286685.1250
-558.9960,842.9151,484.5405,3351.2509,-164500.0625,286685.1250
-298.6150,1195.9846,664.3681,953.7504,-123453.7890,217280.0781
-190.8038,236.7821,17.1961,12346.2548,50872.5195,-101771.2890
-130.3735,265.1375,43.2342,9817.5039,39637.5156,-78163.7812
70.4309,142.8132,48.0516,-54363.7695,-42831.2656,77463.7812
-181.5350,184.2181,27.9285,13256.2548,-117197.5390,194556.3281
-738.2749,589.5466,234.5869,-27081.2617,-191852.5781,286685.1250
-1327.2116,1297.8197,711.5049,54171.2734,-212563.8281,286685.1250
-1059.0251,1168.3608,675.8931,54276.2695,-189682.5781,286685.1250
-486.7357,876.9415,501.3707,5600.0019,-138582.5468,253907.5937
-391.3644,605.8890,71.4676,21078.7578,-21726.2578,37563.7617
-392.7059,49.2712,-32.9897,-3885.0009,48186.2695,-77166.2812
-408.0116,-50.1859,-68.9065,-19643.7578,42866.2617,-65537.5234
-243.4898,51.5274,-0.4269,15627.5039,-551.2502,9327.5029
-250.6244,63.4183,-57.6863,-7078.7524,-61678.7773,96083.7812
-479.7841,519.2986,176.2298,-15006.2558,-124950.0390,186733.8125
-996.9485,1115.3092,642.2326,27597.5117,-188492.5625,286685.1250
-1149.3354,1308.0642,653.3309,84778.7812,-220578.8281,286685.1250
-730.5305,1136.9565,866.6969,-12320.0039,-183977.5625,286685.1250
-216.6590,184.1571,29.9408,-21280.0078,54057.5195,-90002.5390
-171.4734,161.4118,-8.3541,-24508.7597,43968.7695,-69842.5312
-56.8936,-14.0862,0.1829,-15382.5068,-15347.5058,44213.7656
-175.0712,227.5743,149.3380,-51905.0195,-80675.0312,138320.0625
-641.8668,671.5636,378.4367,4182.5014,-166591.2968,251763.8437
-1114.8823,1150.6770,719.8590,36356.2617,-232793.8281,286685.1250
-1014.6934,1123.0533,725.2253,113137.5390,-229591.3437,286685.1250
-739.3724,989.6919,353.8012,51625.0195,-144130.0468,265195.0937
-685.8937,1143.1765,671.8075,-37616.2617,-20667.5078,16038.7548
-87.5661,141.2887,52.0762,-33696.2578,-33285.0117,63700.0273
-114.4579,118.6045,41.5878,-26118.7597,-46786.2656,85706.2734
-353.2524,159.7044,88.7857,-13615.0048,-121038.7968,198712.5781
-697.1749,361.4845,271.0524,4655.0019,-178683.8125,271293.8437
-944.8113,1080.9779,407.7677,50260.0156,-211566.3281,286685.1250
-894.6254,1419.3511,777.7283,58187.5234,-219047.5781,286685.1250
-679.9787,1380.9953,954.1411,-19521.2558,-185631.3125,286685.1250
-481.9794,364.1676,247.7584,27728.7597,-142100.0468,194197.5625
-537.5924,464.6613,380.6930,5818.7519,-152915.0625,208118.8281
-1192.7525,658.8190,334.2268,89827.5312,-194320.0625,257810.0937
-1299.4050,998.1071,652.2332,-1723.7506,-202545.0781,286685.1250
-879.9295,1112.5039,840.6589,37126.2617,-191913.8281,286685.1250
-477.7718,1110.9794,483.3209,6763.7524,-179900.0781,253015.1093
-261.2348,650.6478,469.2957,54906.2734,-96862.5390,161428.8125
-438.1963,-126.0439,-127.8733,-10797.5039,8006.2534,-19258.7578
-442.1600,-87.5051,-79.6388,-15671.2568,5355.0019,-12153.7548
-438.1963,-101.7742,-293.1878,-2913.7509,-24963.7578,52412.5195
-504.4807,370.9973,14.3911,-19302.5078,-51782.5195,129701.2968
-1124.4559,979.6304,441.9770,-29277.5117,-152066.2968,286685.1250
-1609.4842,1281.8430,779.3748,14953.7548,-251028.8593,286685.1250
-1216.4125,1355.2011,685.0400,-34308.7617,-266148.8437,286685.1250
-697.0529,64.0891,10.9763,9520.0039,70227.5234,-134732.5468
-647.2329,42.0146,30.7335,-4480.0019,66806.2734,-127513.7890
-561.9230,-26.8918,-64.2111,-51205.0234,47302.5156,-78478.7734
-287.9436,-64.6379,15.1228,-18480.0058,-19775.0058,27483.7597
-265.9302,-34.6362,-104.2744,-12652.5048,-75661.2812,95278.7812
-485.0284,530.0919,96.1032,-16992.5058,-157386.2968,206788.8281
-1210.9853,1304.3444,970.9104,34256.2617,-240240.0781,286685.1250
-1317.4549,1337.6999,1074.3310,57286.2734,-261493.8281,286685.1250
-787.0582,513.8715,606.6207,29400.0097,-220885.0781,286501.3437
-232.0258,-82.4438,-27.3796,-30581.2578,23091.2597,-24421.2597
-184.8888,-104.3354,-57.1985,-38963.7656,16152.5048,-10543.7529
-205.1949,-104.2134,-7.8053,-12171.2548,-24456.2578,57365.0234
-370.0826,45.3685,-10.7933,-31823.7617,-99575.0390,150237.5468
-893.8328,757.7882,512.4080,-49218.7695,-173941.3125,245551.3437
-1408.6188,1187.6912,711.3830,83711.2812,-254905.1093,286685.1250
