accX,accY,accZ,gyroX,gyroY,gyroZ
-9.9900,-0.5785,0.4325,-0.0015,-0.0018,-0.0283
-9.9835,-0.5892,0.4397,-0.0024,-0.0018,-0.0199
-9.9817,-0.5797,0.4403,-0.0015,-0.0009,-0.0044
-9.9900,-0.5545,0.4283,-0.0020,-0.0015,-0.0166
-10.0050,-0.5689,0.4403,-0.0012,-0.0032,-0.0264
-9.9858,-0.5797,0.4343,-0.0017,-0.0021,-0.0235
-9.9918,-0.5587,0.4325,-0.0023,-0.0012,-0.0254
-9.9990,-0.6048,0.4343,-0.0018,-0.0026,-0.0173
-10.0032,-0.5749,0.4319,-0.0012,0.0003,0.0023
-10.0002,-0.5426,0.4355,-0.0017,-0.0018,-0.0192
-9.9805,-0.5809,0.4289,-0.0020,-0.0037,-0.0333
-9.9841,-0.5952,0.4295,-0.0014,-0.0005,-0.0140
-10.0008,-0.5683,0.4343,-0.0015,-0.0015,-0.0140
-9.9900,-0.5474,0.4331,-0.0015,-0.0002,-0.0189
-9.9936,-0.5761,0.4343,-0.0017,-0.0031,-0.0302
-9.9864,-0.5803,0.4373,-0.0015,-0.0009,-0.0162
-10.0056,-0.5426,0.4355,-0.0018,-0.0021,-0.0202
-9.9984,-0.5934,0.4367,-0.0021,-0.0027,-0.0270
-9.9829,-0.5767,0.4367,-0.0011,-0.0011,-0.0043
-9.9763,-0.5563,0.4361,-0.0008,-0.0003,0.0023
-9.9954,-0.5145,0.4205,-0.0014,-0.0009,-0.0197
-9.9852,-0.5815,0.4271,-0.0021,-0.0038,-0.0356
-9.9823,-0.5719,0.4253,-0.0014,0.0002,-0.0090
-9.9948,-0.5276,0.4319,-0.0014,-0.0032,-0.0235
-10.0074,-0.5677,0.4331,-0.0020,-0.0020,-0.0316
-9.9823,-0.5611,0.4427,-0.0020,-0.0029,-0.0182
-9.9823,-0.5509,0.4415,-0.0021,-0.0023,-0.0261
-9.9996,-0.5731,0.4355,-0.0020,-0.0015,-0.0304
-9.9823,-0.5940,0.4379,-0.0014,-0.0011,-0.0092
-9.9942,-0.5354,0.4295,-0.0006,-0.0002,-0.0006
-9.9978,-0.5348,0.4355,-0.0012,-0.0018,-0.0218
